Title,Description,Body,Cut At,Word Count
Democratic Congressman: Opposition To Executive Action Result Of ‰ÛÏPerson Of Color Being In The WhiteåÊHouse‰Ûù,"['\xe2\x80\x9cSo but again, this is just a reaction in Bennie Thompson\xe2\x80\x99s words to a person of color being in the White House.\xe2\x80\x9d']","['', '', '', '', '', '', '', '', 'A Democratic congressman says opposition to President Obama\xe2\x80\x99s extending temporary legal status to millions of undocumented immigrants is a result of the president\xe2\x80\x99s race.', '\xe2\x80\x9cThe president, by executive order, which everybody agrees \xe2\x80\x94 who has a real brain \xe2\x80\x94 that presidents since George Washington have had executive authority privilege to do certain things,\xe2\x80\x9d said Rep. Bennie Thompson of Mississippi on On Joe Madison\xe2\x80\x99s radio program', 'last Friday.', '\xe2\x80\x9cHe\xe2\x80\x99s not doing anything that the Bushes, the Reagans, the Clintons, and other presidents all the way back to Eisenhower, as it addressed immigration. So but again, this is just a reaction in Bennie Thompson\xe2\x80\x99s words to a person of color being in the White House.\xe2\x80\x9d', 'This isn\xe2\x80\x99t the first time Thompson has said opposition to specific policies from President Obama is because of his race.', 'In an interview', 'program in April, Thompson said Republicans are only anti-big government and anti-Obamacare because President Obama is black.', 'Democratic Congressman: Opposition To Executive Action Result Of ""Person Of Color Being In The White House""', 'Your link was successfully shared!', 'More Buzz', 'Note: once you save these links, they will no longer update automatically.', 'More Buzz', 'Note: once you save these links, they will no longer update automatically.', '', '', '', '', 'by', '', 'This cannot be undone.', 'BuzzFeed is currently working with select partners to help them track what\xe2\x80\x99s hot on their sites using the same advanced social tracking and analytics tools used on BuzzFeed.com.', 'If you\xe2\x80\x99re interested, contact us at', '.', ""Please select the newsletters you'd like to receive."", 'Your email has been sent!', 'Get our awesome newsletter at', ""Great! You'll get your first email soon."", 'Thanks for sharing.', 'Please try again later.']",1270,1269
Key Signature From Con Man‰Ûªs Ebola Firm May BeåÊFake,[],"['', '', '', '', '', 'Bio-Recovery, the firm New York City hired to clean up Ebola, has a \xe2\x80\x9cchief safety officer\xe2\x80\x9d who is a con artist and convicted felon. Now, BuzzFeed News has learned, there are questions about the CEO\xe2\x80\x99s signature on a corporate document. And the con artist has changed his name.', 'A routine corporate document, filed in January of this year,', 'that Christine Dye is the chief executive officer and president of Bio-Recovery Corporation. Her signature is affixed to the bottom of the page.', 'And, indeed, a woman named Christina Dye worked for the company at that time. But her signature, found in a', 'for another company, does not match the one on the Bio-Recovery papers.', 'When she started working with Pane, Dye told BuzzFeed News, he promised to make her CEO in a year. But she left after six months, she said, and was never Bio-Recovery\xe2\x80\x99s CEO or president. She said the signature on the Bio-Recovery document is not hers.', 'As for the slight difference in names \xe2\x80\x94 Christine versus Christina \xe2\x80\x94 Dye said she knows of no other person with her surname who worked at the company, and BuzzFeed News did not find any other Dye associated with the company in public records or online.', 'The dueling signatures are the latest revelation about Bio-Recovery, the company New York City hired to clean up the apartment of Ebola patient Dr. Craig Spencer. As a recent', 'revealed, a con artist and convicted felon named Sal Pane has said he\xe2\x80\x99s the company\xe2\x80\x99s \xe2\x80\x9cchief safety officer,\xe2\x80\x9d and he has been all over the media, often making exaggerated or false claims about his and Bio-Recovery\xe2\x80\x99s credentials.', '\xe2\x80\x9cFor the past 27 years the company\xe2\x80\x99s been around we\xe2\x80\x99ve never had an issue,\xe2\x80\x9d Pane told Fox News. But the company has only been around for 16 years, and 27 years before he made that statement, Pane was just 4 years old. When the company decontaminated Spencer\xe2\x80\x99s apartment, it arrived', '.', 'Before the Ebola cleanup, Pane ran a mortgage company that scammed its customers. In 2010, a judge found Pane', 'and ordered that he and the company pay $12.5 million in restitution and civil penalties. So far, only about $62,000 has been paid back. That same year, after a drunk driving incident, Pane was', 'of false personation, driving while impaired, and felony aggravated unlicensed operation of a vehicle.', 'Today, the difference between Christine and Christina Dye is not the only mystery involving names. When Pane ran his mortgage company, he went by his', ': Pane. Now, however, he spells it slightly differently: Pain.', 'But, it turns out, neither of those may be his legal name. In 2010 he', 'it to Enzo Pagani.', 'When BuzzFeed News called Pane this week to ask him about the differing signatures and his name change, he hung up. Neither he nor Bio-Recovery responded to a list of detailed questions sent to various email and physical addresses associated with Pane and the company.', 'If Christina Dye did not sign the Bio-Recovery document, it is not clear who did. Previously, Pane has adamantly denied that he runs Bio-Recovery, and it could not be determined who exactly has been in charge.', 'Before Pane got involved, the company was founded by a man named Ron Gospodarski. He died in 2013 and left the company to his sister, Fran Gospodarski Senko. Fran', 'that Pane duped her into selling the company name and other assets after telling her that he was good friends with Gospodarski. Fran said she signed over the company this past New Year\xe2\x80\x99s Eve. Pane was there and orchestrated the sale, she said, but the paperwork named a company called Vinmar Associates as the buyer.', 'Dye told BuzzFeed News she worked at Vinmar Associates with Sal Pane starting in October 2013, when, she said, Pane promised to make her CEO of the company in a year. She said that she stayed until April 2014 and that she was working with Pane when Vinmar bought Bio-Recovery.', 'In late January 2014, Bio-Recovery', 'a \xe2\x80\x9cBiennial Statement\xe2\x80\x9d with the New York Department of State, declaring a new address and a new president and CEO: Christine Dye. It\xe2\x80\x99s this document that bears the signature that Christina Dye says is not hers.', 'Shortly after Dye left Vinmar and Bio-Recovery, she founded a company called Brooks Remediation and', 'to that firm\xe2\x80\x99s incorporation documents. The signature is clearly different from the one given for Bio-Recovery. Asked about this, Dye said that the Brooks Remediation signature is correct, the Bio-Recovery signature is not hers, and she knew of no one else at the company with a name similar to hers. She also said she never held the title of CEO or president while at Bio-Recovery.', 'She said she is no longer associated with Pane and has not spoken with him since she left to start her own company. She declined to comment further.', 'Dye was publicly listed as Bio-Recovery\xe2\x80\x99s CEO and president until August, four months after her departure. That month, the company', 'declaring that a Louis Caliendo was the CEO.', 'Then, in October,', 'was filed. It said that Bio-Recovery\xe2\x80\x99s CEO is a Stephen Robert Clarno. According to news reports, Clarno worked at Amerimod, Pane\xe2\x80\x99s loan modification company that was found to have violated the law and misled many of its customers. Clarno has not responded to multiple messages to his Facebook account seeking comment. A phone number listed for him is no longer in service, and BuzzFeed News was unable to locate an email or physical address for him.', 'In January 2010, Pane filed a request for a name change in Westchester County Supreme Court. In his application, he declared that he needed to change his name because a man named Sean Murphy had been harassing and threatening him. \xe2\x80\x9cMy safety/well-being is in jeopardy,\xe2\x80\x9d he', '.', 'At the time Pane applied to change his name, the civil case against him for scamming his mortgage customers was pending, as was the criminal case against him stemming from the drunk driving incident. Yet Pane left', '\xe2\x80\x94 the one where he was asked if he had any \xe2\x80\x9cactions pending\xe2\x80\x9d against him \xe2\x80\x9cin any court of this state or of the United States.\xe2\x80\x9d', '\xe2\x80\x9cThat should have been filled out,\xe2\x80\x9d David Bookstaver, spokesperson for New York State\xe2\x80\x99s Office of Court Administration, told BuzzFeed News.', 'Regardless, the judge', ', legally changing Pane\xe2\x80\x99s name to Enzo Pagani.', 'Pane and Bio-Recovery did not respond to a detailed letter seeking comment on the name change and on the Dye signature. Reached by telephone, Pane asked, \xe2\x80\x9cWhat\xe2\x80\x99s today\xe2\x80\x99s story?\xe2\x80\x9d After being asked if Christina Dye was Bio-Recovery\xe2\x80\x99s CEO, he hung up.', 'To contact the authors, write to', 'or', '.', 'Key Signature From Con Man\xc3\xa2\xc2\x80\xc2\x99s Ebola Firm May Be Fake', 'Your link was successfully shared!', 'More Buzz', 'Note: once you save these links, they will no longer update automatically.', 'More Buzz', 'Note: once you save these links, they will no longer update automatically.', '', '', '', '', 'by', '', 'This cannot be undone.', 'BuzzFeed is currently working with select partners to help them track what\xe2\x80\x99s hot on their sites using the same advanced social tracking and analytics tools used on BuzzFeed.com.', 'If you\xe2\x80\x99re interested, contact us at', '.', ""Please select the newsletters you'd like to receive."", 'Your email has been sent!', 'Get our awesome newsletter at', ""Great! You'll get your first email soon."", 'Thanks for sharing.', 'Please try again later.']",7104,7103
Ebola Cleanup Company Removes ‰ÛÏCertifications‰Ûù From Website After BuzzFeed News Investigation,['Bio-Recovery Corp. claimed to be \xe2\x80\x9cEPA licensed\xe2\x80\x9d and won a contract to clean up the New York City apartment of an Ebola patient.'],"['', '', '', '', '', '', 'But after', ', some of those claims have disappeared from its website.', '', '', 'The company New York City hired to clean up Ebola has erased some of its \xe2\x80\x9ccertifications\xe2\x80\x9d from some of its web pages, after a', 'raised questions about whether it was qualified to do the cleanup.', 'Until recently, Bio-Recovery Corp.\xe2\x80\x99s website claimed to be \xe2\x80\x9cEPA Licensed\xe2\x80\x9d and an \xe2\x80\x9cEPA Certified Hazardous Waste Hauler\xe2\x80\x9d in multiple places. BuzzFeed News\xe2\x80\x99 story found no evidence that the company had any active permits and revealed that Sal Pane and his crew showed up to clean up the Harlem apartment of Ebola patient Dr. Craig Spencer with a truck bearing permits that belonged to a dead man.', 'Pane has a long and colorful history of telling falsehoods. In 2010, Pane was found', 'for running a mortgage company that scammed customers. BuzzFeed News\xe2\x80\x99 examination found that he has used fake names and made false claims to inflate his credentials, gained credibility from media interviews, and accumulated a trail of people who feel he exploited them when they were vulnerable.', 'Bio-Recovery Corp. used to be owned by a former paramedic named Ron Gospodarski, until he died in 2013. Gospodarski\xe2\x80\x99s sister told BuzzFeed News that Pane duped her into selling the company name.', 'Contacted Friday, Pane hung up on BuzzFeed News after being asked about the changes. He has not responded to last week\xe2\x80\x99s investigation, but an attorney for Bio-Recovery sent a statement to', 'that alleged BuzzFeed News\xe2\x80\x99 story \xe2\x80\x9cwas replete with false statements, lies and outright falsehoods.\xe2\x80\x9d', 'Nevertheless, the company website, at least, has gone back on some claims about its credentials. In multiple places, under \xe2\x80\x9cCertifications,\xe2\x80\x9d there is no longer the claim to EPA license or the EPA certification to haul hazardous waste.', 'In other places, though, the claims still appear. One', 'devoted to the company\xe2\x80\x99s credentials still states that the company is \xe2\x80\x9cEPA Licensed\xe2\x80\x9d and an \xe2\x80\x9cEPA Certified Hazardous Waste Hauler\xe2\x80\x9d. \xe2\x80\x9cBio Recovery Corp. has numerous Certifications and Licenses with organizations and associations such as OSHA, EPA, NYS, and DEC,\xe2\x80\x9d the page says.', 'But some changes have been made to that page, too. It used to say that the company had \xe2\x80\x9c19 years in business,\xe2\x80\x9d even though Bio-Recovery Corp. hadn\xe2\x80\x99t been founded by Ron Gospodarski until 1998. Now, it says the company has \xe2\x80\x9c15 years in business.\xe2\x80\x9d', 'Here\xe2\x80\x99s how the company\xe2\x80\x99s \xe2\x80\x9cEbola Decontamination\xe2\x80\x9d page used to look:', '', 'And here\xe2\x80\x99s how it looks now, without \xe2\x80\x9cEPA Licensed\xe2\x80\x9d or \xe2\x80\x9cEPA Certified Hazardous Waste Hauler\xe2\x80\x9d', '', 'Ebola Cleanup Company Removes ""Certifications"" From Website After BuzzFeed News Investigation', 'Your link was successfully shared!', 'More Buzz', 'Note: once you save these links, they will no longer update automatically.', 'More Buzz', 'Note: once you save these links, they will no longer update automatically.', '', '', '', '', 'by', '', 'This cannot be undone.', 'BuzzFeed is currently working with select partners to help them track what\xe2\x80\x99s hot on their sites using the same advanced social tracking and analytics tools used on BuzzFeed.com.', 'If you\xe2\x80\x99re interested, contact us at', '.', ""Please select the newsletters you'd like to receive."", 'Your email has been sent!', 'Get our awesome newsletter at', ""Great! You'll get your first email soon."", 'Thanks for sharing.', 'Please try again later.']",3090,3089
